رقم الملف,رقم القرار,تاريخ القرار,محكمة الاستئناف,القاعدة القانونية,معاينة القرار الاستئنافي
2024/7205/2,2024/7205/1,2024-12-12,محكمة الاستئناف الإدارية بطنجة,استنادا إلى المبادئ الدستورية المتصلة بربط المسؤولية بالمحاسبة وتكريس قيم التخليق والشفافية في تدبير الهيئات التي تمارس صلاحيات السلطة العمومية، وترسيخ مبادئ الحكامة الجيدة، وثقافة المرفق العام ، وقيم المواطنة المسؤولة التي تتلازم فيها ممارسة الحقوق بالنهوض بأداء الواجبات، فإن القوانين التنظيمية المتعلقة بالجماعات الترابية وضعت أحكاما تجعل كل من يضطلع بمسؤولية عمومية انتخابية متحملا لتبعات تصرفاته، مع ما يقتضيه ذلك من أن كل انحراف في السلوك الوظيفي للمنتخبين المحليين، سواء بصفتهم كأعضاء للمجالس أو متولين لمهام انتدابية، من شأنه أن يعرضهم للمساءلة التأديبية ... نعم. إن نظام التأديب المقرر لمنتخبي الجماعات الترابية يروم ضمان انضباطهم للقوانين والأنظمة الجاري بها العمل حين أداء مهامهم الانتدابية، وحسن سير الإدارة الجماعية بانتظام و اضطراد تحقيقا للمصلحة العامة ، لذلك فهم ملزمون بالقيام بمهامهم وفق مبادئ احترام القانون و الشفافية والنزاهة والمصلحة العامة. وفضلا عن ذلك ، فلئن كان جزء من الأفعال المنسوبة للمستأنف - في نازلة الحال قد لا يتسم بطابع الجسامة من منظور التناسب والآثار، فإن أغلبها أضر بأخلاقيات المرفق العمومي لكونها تشكل مخالفات واضحة لنصوص قانونية وتنظيمية صريحة . و إن ما استهدفه المشرع من إخضاع مجالس الجماعات الترابية لقواعد الرقابة والحكامة هو بغرض ضمان تقيدها بالقانون وتحقيق فعاليتها وبلوغ أهدافها في التدبير المحلي الأمثل ... نعم . إن الحكم المستأنف فيما انتهى إليه من عزل الطرف المستأنف من منصب النائب الثالث لرئيس مقاطعة طنجة يبقى مبررا ومعللا تعليلا كافيا وسائغا ... التصريح بتأييده ... نعم ..,
2024/7202/4,2024/7202/4,2024-12-02,محكمة الاستئناف الإدارية بطنجة,إن مقتضيات الفصل 448 من قانون المسطرة المدنية يشترط للحكم بالغرامة التهديدية ثبوت تحقق واقعة الامتناع الصريح غير المبرر عن التنفيذ، وأن يكون موضوع الالتزام متعلقا بالالتزام بالقيام بعمل أو بالامتناع عن القيام بعمل... نعم. غياب أي تصريح واضح بالامتناع عن التنفيذ في المحضر المستدل به من قبل المستأنف عليها ... اعتباره امتناعا عن التنفيذ بالمعنى الواقعي والقانوني... لا . تكييف محضر الامتناع من طرف محرره لتصريحات المنفذ عليها واعتبارها امتناعا غير مبرر عن التنفيذ... لا . ثبوت كون المؤسسة المستأنف عليها تمارس نشاطها التعليمي بشكل عادي وسلس... انتفاء موجبات ما قضى به الأمر المستأنف من تحديد للغرامة التهديدية ... إلغاؤه والتصريح تصديا برفض بالطلب... نعم..,
2024/7202/3,2024/7202/3,2024-12-02,محكمة الاستئناف الإدارية بطنجة,يتمتع المكتب الوطني للكهرباء بحق ارتفاق قانوني لتمرير الأسلاك الكهربائية بأراضي الخواص تحقيقا للمنفعة العامة، ... تدخل قاضي المستعجلات ضمانا لممارسة هذا الحق ... نعم. إعمال لمبدأ الملاءمة وتغليب المصلحة العامة عند تعارضها مع المصلحة الخاصة... تمديد الخطوط الكهربائية لربطها بمحطة الطاقة الريحية كخيار استراتيجي للدولة لانتاج الطاقة النظيفة - مقدم على مصلحة الشركة المستأنفة الرامية لإقامة مشروع مستودعات خاصة... نعم.,
2024/1403/420,2024/1403/420,2024-11-28,محكمة الاستئناف بتازة,العقار في طور التحفيظ,
2024/1402/409,2024/1402/409,2024-11-21,محكمة الاستئناف بتازة,العقار المحفظ,
2024/1401/148,2024/1401/148,2024-11-10,محكمة الاستئناف بتازة,العقار العادي,
2024/1501/65,2024/1501/65,2024-10-29,محكمة الاستئناف بتازة,نزاعات الشغل,
2024/1501/376,2024/1501/376,2024-10-24,محكمة الاستئناف بتازة,نزاعات الشغل,
2024/1401/156,2024/1401/186,2024-10-03,محكمة الاستئناف بتازة,العقار العادي,
2023/1201/1437,2024/1201/1437,2024-08-01,محكمة الاستئناف بتازة,المدني المتنوع,
2023/1201/592,2024/1201/987,2024-06-13,محكمة الاستئناف بتازة,المدني المتنوع,
